simple_name,source_book,source_period,category,chapter_start,chapter_end,confidence,notes
Ten Plagues of Egypt,Exodus,Egypt & Exodus,Judgment,7,12,1.00,The full cycle of escalating judgments that break Egypt's resistance.
Water Turned to Blood,Exodus,Egypt & Exodus,Judgment,7,7,1.00,First plague sign as Nile waters become blood.
Frogs,Exodus,Egypt & Exodus,Judgment,8,8,0.99,Plague of frogs that overruns Egypt.
Lice,Exodus,Egypt & Exodus,Judgment,8,8,0.97,Dust of the land becomes a plague against man and beast.
Swarms of Flies,Exodus,Egypt & Exodus,Judgment,8,8,0.98,Ravaging swarm that spares the land of Goshen.
Cattle Plague,Exodus,Egypt & Exodus,Judgment,9,9,0.97,Deadly murrain against Egyptian livestock.
Boils,Exodus,Egypt & Exodus,Judgment,9,9,0.97,Painful plague afflicting people and animals.
Hail and Fire,Exodus,Egypt & Exodus,Judgment,9,9,0.99,Hail mingled with fire devastates the land.
Locusts,Exodus,Egypt & Exodus,Judgment,10,10,0.99,Swarming locust judgment that devours what remains.
Darkness over Egypt,Exodus,Egypt & Exodus,Judgment,10,10,1.00,Thick darkness covers the land for three days.
Final Plague,Exodus,Egypt & Exodus,Judgment,11,12,0.98,"Death of the firstborn, the final blow against Egypt."
Passover,Exodus,Egypt & Exodus,Law/Rite,12,12,0.99,The defining memorial rite of deliverance from Egypt.
Feast of Unleavened Bread,Exodus,Egypt & Exodus,Law/Rite,12,34,0.97,Seven-day memorial feast repeatedly tied to the exodus and covenant.
Sanctification of the Firstborn,Exodus,Egypt & Exodus,Law/Rite,13,13,0.90,Consecration of firstborn males to the LORD.
Pillar of Cloud,Exodus,Egypt & Exodus,Miracle,13,40,0.98,Visible sign of divine guidance by day and presence at the sanctuary.
Pillar of Fire,Exodus,Egypt & Exodus,Miracle,13,40,0.98,Night sign of divine guidance over Israel's camp.
Parting of the Red Sea,Exodus,Egypt & Exodus,Miracle,14,14,0.99,Signature deliverance miracle that opens a path through the waters.
Dry Path Through the Sea,Exodus,Egypt & Exodus,Event,14,14,0.96,Israel crosses between walls of water on dry ground.
Overthrow of Egypt,Exodus,Egypt & Exodus,Judgment,14,14,0.91,Pharaoh's pursuing force is destroyed in the returning sea.
Song of the Sea,Exodus,Egypt & Exodus,Theme/Symbol,15,15,0.97,Victory hymn celebrating deliverance and divine kingship.
Bitter Waters Made Sweet,Exodus,Egypt & Exodus,Miracle,15,15,0.95,The healing of Marah's waters after wilderness complaint.
Manna from Heaven,Exodus,Egypt & Exodus,Item,16,16,0.99,Daily wilderness bread from heaven given to sustain Israel.
Sabbath Provision,Exodus,Egypt & Exodus,Law/Rite,16,16,0.91,Double gathering on the sixth day to preserve Sabbath rest.
Water from the Rock at Horeb,Exodus,Egypt & Exodus,Miracle,17,17,0.98,The struck rock gives water to the thirsty camp.
Battle with Amalek,Exodus,Egypt & Exodus,Event,17,17,0.95,Israel's first major wilderness battle under Joshua.
Altar of Jehovah-nissi,Exodus,Egypt & Exodus,Relic,17,17,0.88,Memorial altar raised after victory over Amalek.
Jethro's Counsel,Exodus,Egypt & Exodus,Event,18,18,0.92,Leadership advice that restructures Moses' burden of judgment.
Judges over the People,Exodus,Egypt & Exodus,Law/Rite,18,18,0.90,"Delegated structure of rulers over thousands, hundreds, fifties, and tens."
Sinai Covenant,Exodus,Egypt & Exodus,Law/Rite,19,24,0.98,Covenant framework established and ratified at the mountain.
Kingdom of Priests,Exodus,Egypt & Exodus,Theme/Symbol,19,19,0.96,Identity promise spoken over Israel at Sinai.
Thick Cloud on Sinai,Exodus,Egypt & Exodus,Miracle,19,19,0.90,Clouded theophany surrounding the mountain before the law.
Trumpet Blast at Sinai,Exodus,Egypt & Exodus,Miracle,19,19,0.89,Escalating heavenly signal before the LORD's descent.
Boundaries of Sinai,Exodus,Egypt & Exodus,Law/Rite,19,19,0.88,Forbidden perimeter preserving the mountain's holiness.
Ten Commandments,Exodus,Egypt & Exodus,Law/Rite,20,20,0.99,Foundational covenant words delivered at Sinai.
No Other Gods,Exodus,Egypt & Exodus,Law/Rite,20,20,0.94,The opening commandment forbidding rival worship.
No Graven Images,Exodus,Egypt & Exodus,Law/Rite,20,20,0.93,The commandment against idol-making and idol-worship.
Sabbath Rest,Exodus,Egypt & Exodus,Law/Rite,20,34,0.95,The seventh-day rest command repeated as a covenant principle.
Hebrew Servant Law,Exodus,Egypt & Exodus,Judgment,21,21,0.94,Terms of service and release for Hebrew bondservants.
Eye for Eye,Exodus,Egypt & Exodus,Judgment,21,21,0.99,Famous proportional-justice standard from the case laws.
Ox That Gores,Exodus,Egypt & Exodus,Judgment,21,21,0.93,Liability law for a dangerous animal that kills or injures.
Restitution,Exodus,Egypt & Exodus,Judgment,22,22,0.90,Property and theft laws centered on repayment and compensation.
Witchcraft Ban,Exodus,Egypt & Exodus,Judgment,22,22,0.94,Memorable prohibition against sorcery and occult practice.
Protections for the Vulnerable,Exodus,Egypt & Exodus,Law/Rite,22,23,0.86,"Commands defending strangers, widows, orphans, and the poor."
Sabbath Year,Exodus,Egypt & Exodus,Law/Rite,23,23,0.95,The land rests in the seventh year for the poor and the beasts.
Three Feasts,Exodus,Egypt & Exodus,Law/Rite,23,23,0.93,"Pilgrimage festivals of Unleavened Bread, Harvest, and Ingathering."
Blood of the Covenant,Exodus,Egypt & Exodus,Event,24,24,0.98,Covenant ratification through blood cast on altar and people.
Covenant Meal,Exodus,Egypt & Exodus,Event,24,24,0.90,Sacred meal in the divine presence on the mountain.
Sinai Theophany,Exodus,Egypt & Exodus,Miracle,24,24,0.95,Vision of God and glory on Sinai's pavement of sapphire.
Priestly Consecration,Exodus,Egypt & Exodus,Law/Rite,29,29,0.96,Ordination rite for Aaron and his sons.
Continual Burnt Offering,Exodus,Egypt & Exodus,Law/Rite,29,29,0.95,Daily morning and evening offering before the LORD.
Sabbath as a Sign,Exodus,Egypt & Exodus,Theme/Symbol,31,31,0.95,Sabbath marked as covenant sign between God and Israel.
Spirit-Filled Craftsmanship,Exodus,Egypt & Exodus,Theme/Symbol,31,31,0.92,Bezalel is filled with the Spirit for holy artistic work.
Golden Calf,Exodus,Egypt & Exodus,Event,32,32,0.99,The idol forged in the camp during Moses' delay on the mountain.
Broken Tablets,Exodus,Egypt & Exodus,Relic,32,32,0.91,The first tablets shattered by Moses beneath the mountain.
Moses Pleads for Israel,Exodus,Egypt & Exodus,Event,32,32,0.95,Moses intercedes after Israel's rebellion with the calf.
Levites' Sword Purge,Exodus,Egypt & Exodus,Judgment,32,32,0.93,The Levites execute judgment within the camp at Moses' command.
Plague on the People,Exodus,Egypt & Exodus,Judgment,32,32,0.90,The LORD strikes the people after the calf rebellion.
Face to Face with God,Exodus,Egypt & Exodus,Theme/Symbol,33,33,0.89,Moses speaks with the LORD in uniquely intimate communion.
Divine Presence,Exodus,Egypt & Exodus,Theme/Symbol,33,33,0.88,The promise that God's presence will go with his people.
Covenant Renewal,Exodus,Egypt & Exodus,Event,34,34,0.97,The covenant is renewed after the calf catastrophe.
The LORD Proclaims His Name,Exodus,Egypt & Exodus,Theme/Symbol,34,34,0.94,The divine name and character are proclaimed on Sinai.
Veiled Face of Moses,Exodus,Egypt & Exodus,Theme/Symbol,34,34,0.92,Moses covers his shining face after speaking with the LORD.
Freewill Offering,Exodus,Egypt & Exodus,Law/Rite,35,35,0.92,Voluntary gifts of the people for building the sanctuary.
Cloud Fills the Tabernacle,Exodus,Egypt & Exodus,Miracle,40,40,0.99,The cloud covers the finished sanctuary.
Glory Fills the Tabernacle,Exodus,Egypt & Exodus,Miracle,40,40,0.99,The glory of the LORD fills the completed tabernacle.
Journey by the Cloud,Exodus,Egypt & Exodus,Theme/Symbol,40,40,0.90,Israel moves only when the cloud is taken up from the sanctuary.
Pharaoh's Hardened Heart,Exodus,Egypt & Exodus,Theme/Symbol,7,14,0.99,Recurring motif that drives the plague cycle and final pursuit.
