simple_name,source_book,source_period,category,chapter_start,chapter_end,confidence,notes
Lord's Prayer,Matthew,Gospels,Law/Rite,6,6,0.96,Model prayer placed at the heart of Jesus' instruction.
Kingdom of Heaven,Matthew,Gospels,Theme/Symbol,4,25,0.97,Signature Gospel proclamation of divine reign breaking in.
Parable of the Sower,Matthew,Gospels,Theme/Symbol,13,13,0.93,Seed-scattering image for hearing and fruitfulness.
Mustard Seed,Matthew,Gospels,Theme/Symbol,13,13,0.92,Tiny beginning that becomes a sheltering kingdom image.
Narrow Gate,Matthew,Gospels,Theme/Symbol,7,7,0.90,Compressed image of difficult but life-giving discipleship.
Healing of the Leper,Matthew,Gospels,Miracle,8,8,0.91,Purifying touch miracle early in the Galilean ministry.
Healing of the Paralytic,Mark,Gospels,Miracle,2,2,0.92,Forgiveness and healing converge in the lowered-mat scene.
Centurion's Servant Healed,Matthew,Gospels,Miracle,8,8,0.90,Distance-healing tied to remarkable faith.
Calming the Storm,Mark,Gospels,Miracle,4,4,0.95,Wind and waves obey Jesus' rebuke.
Walking on Water,Matthew,Gospels,Miracle,14,14,0.96,Sea-crossing miracle joined to Peter's wavering steps.
Feeding of the Five Thousand,John,Gospels,Miracle,6,6,0.98,Loaves-and-fishes provision sign for the multitude.
Feeding of the Four Thousand,Matthew,Gospels,Miracle,15,15,0.90,Second wilderness feeding miracle with basket imagery.
Transfiguration,Matthew,Gospels,Event,17,17,0.98,Mountain revelation of glory before chosen disciples.
Legion Cast into Swine,Mark,Gospels,Miracle,5,5,0.93,Exorcism climax that sends demons into the herd.
Jairus's Daughter Raised,Mark,Gospels,Miracle,5,5,0.93,Dead child restored with a command to arise.
Woman with an Issue of Blood,Mark,Gospels,Miracle,5,5,0.92,Healing by touch on the way to Jairus' house.
The Good Samaritan,Luke,Gospels,Theme/Symbol,10,10,0.98,Mercy parable centered on the wounded traveler and unexpected neighbor.
The Prodigal Son,Luke,Gospels,Theme/Symbol,15,15,0.98,Homecoming parable of squandered inheritance and lavish welcome.
The Lost Sheep,Luke,Gospels,Theme/Symbol,15,15,0.94,Search-and-recovery image of divine joy.
The Rich Fool,Luke,Gospels,Theme/Symbol,12,12,0.91,Barn-building parable against hoarding life.
The Pharisee and the Publican,Luke,Gospels,Theme/Symbol,18,18,0.92,Prayer contrast between self-righteousness and humility.
Zacchaeus in the Sycamore,Luke,Gospels,Event,19,19,0.91,Salvation comes to the house of the tree-climbing tax collector.
Water into Wine,John,Gospels,Miracle,2,2,0.98,First sign in Cana where water becomes choice wine.
New Birth from Above,John,Gospels,Theme/Symbol,3,3,0.94,Born-again teaching from Jesus' night conversation with Nicodemus.
Living Water,John,Gospels,Theme/Symbol,4,4,0.95,Well imagery for the Spirit's lasting satisfaction.
Healing at Bethesda,John,Gospels,Miracle,5,5,0.93,Long-disabled man restored beside the pool.
Bread of Life,John,Gospels,Theme/Symbol,6,6,0.96,Sustenance metaphor flowing out of the feeding sign.
Light of the World,John,Gospels,Theme/Symbol,8,9,0.96,Radiant identity claim paired with sight-giving works.
Healing the Man Born Blind,John,Gospels,Miracle,9,9,0.95,"Sight miracle with clay, washing, and testimony."
Good Shepherd,John,Gospels,Theme/Symbol,10,10,0.96,"Pastoral image of sacrificial care, voice, and protection."
Raising of Lazarus,John,Gospels,Miracle,11,11,0.98,Tomb-command sign that intensifies the road to the cross.
Triumphal Entry,John,Gospels,Event,12,12,0.98,Jesus enters Jerusalem to acclaim and palm branches.
Cleansing of the Temple,Matthew,Gospels,Event,21,21,0.96,Merchants are driven out of the house of prayer.
Widow's Mite,Luke,Gospels,Theme/Symbol,21,21,0.90,Small offering made weighty by sacrificial devotion.
The Last Supper,Luke,Gospels,Event,22,22,0.99,Final meal where covenant words frame bread and cup.
Washing of the Feet,John,Gospels,Law/Rite,13,13,0.92,Embodied lesson in humble service using basin and towel.
Vine and Branches,John,Gospels,Theme/Symbol,15,15,0.94,Fruitfulness image grounded in abiding union.
Betrayer's Kiss,Matthew,Gospels,Event,26,26,0.95,The arrest signal that turns intimacy into betrayal.
Denial before the Rooster's Crow,Matthew,Gospels,Event,26,26,0.95,Peter's collapse under pressure before dawn.
Trial before Pilate,John,Gospels,Judgment,18,19,0.97,Roman hearing that culminates in the sentence of crucifixion.
Crucifixion,John,Gospels,Event,19,19,1.00,The central passion event at Golgotha.
Darkness over the Land,Luke,Gospels,Judgment,23,23,0.92,Cosmic sign that accompanies the death of Jesus.
Veil Torn in Two,Matthew,Gospels,Miracle,27,27,0.94,Temple curtain split at the climactic moment of death.
Resurrection,John,Gospels,Event,20,20,1.00,Victory over death announced at the empty tomb and in appearances.
Road to Emmaus,Luke,Gospels,Event,24,24,0.96,"Journey of hidden presence, burning hearts, and revealed bread-breaking."
Doubting Thomas,John,Gospels,Event,20,20,0.93,Resurrection appearance that answers unbelief with wounds.
Breakfast by the Sea,John,Gospels,Event,21,21,0.90,Risen Jesus feeds his disciples beside the water.
Great Commission,Matthew,Gospels,Event,28,28,0.97,Mountain sending of the disciples to all nations.
Ascension,Luke,Gospels,Event,24,24,0.96,Departure blessing that closes Luke's Gospel.
