simple_name,source_book,source_period,category,chapter_start,chapter_end,confidence,notes
Joseph's Garment,Genesis,Genesis,Item,39,39,0.96,Garment left behind in the false accusation scene.
Silver in the Sack,Genesis,Genesis,Item,42,44,0.93,Returned money that intensifies fear and suspicion.
Ark of Gopher Wood,Genesis,Genesis,Relic,6,8,0.99,Great vessel built for survival through the deluge.
Flaming Sword of the East,Genesis,Genesis,Relic,3,3,0.95,Sword guarding the way back to life.
Bow in the Clouds,Genesis,Genesis,Relic,9,9,0.99,Rainbow sign of restraint and covenant mercy.
Stone Pillar of Bethel,Genesis,Genesis,Relic,28,31,0.95,Memorial stone Jacob anoints and sets upright.
Rachel's Household Gods,Genesis,Genesis,Relic,31,31,0.96,Stolen images hidden during Jacob's departure.
Heap of Witness,Genesis,Genesis,Relic,31,31,0.95,Stone boundary marker of the pact between Jacob and Laban.
Judah's Pledge,Genesis,Genesis,Relic,38,38,0.95,Token left as security in the Tamar encounter.
Joseph's Silver Cup,Genesis,Genesis,Relic,44,44,0.97,Planted cup that becomes the center of Joseph's final test.
Joseph's Bones,Genesis,Genesis,Relic,50,50,0.98,Preserved remains carried forward as a future-exodus relic.
Let There Be Light,Genesis,Genesis,Event,1,1,1.00,First creative word that parts light from darkness.
The Fall,Genesis,Genesis,Event,3,3,1.00,Humanity's disobedience and corruption in Eden.
Exile from Eden,Genesis,Genesis,Event,3,3,0.99,Humanity is driven from the garden after the fall.
Noah Builds the Ark,Genesis,Genesis,Event,6,6,0.99,Noah obeys the preserving command before judgment falls.
The Flood,Genesis,Genesis,Event,7,8,1.00,World-covering judgment and reset of creation.
The Ark Comes to Rest,Genesis,Genesis,Event,8,8,0.96,Ark settles on the mountains after the waters recede.
Tower of Babel,Genesis,Genesis,Event,11,11,1.00,Humanity's great tower of pride and unified rebellion.
Call of Abram,Genesis,Genesis,Event,12,12,0.99,Abram leaves homeland and kindred at God's command.
Rescue of Lot,Genesis,Genesis,Event,14,14,0.97,Abram arms his house and recovers the captured.
Birth of Isaac,Genesis,Genesis,Event,21,21,0.99,Promise child is born at the appointed time.
The Binding on Moriah,Genesis,Genesis,Event,22,22,1.00,Abraham's climactic test with Isaac on the mountain.
Stolen Blessing,Genesis,Genesis,Event,27,27,0.99,Jacob receives the blessing meant for Esau.
Jacob's Ladder,Genesis,Genesis,Miracle,28,28,1.00,Dream vision of a stairway joining earth and heaven with angels ascending and descending.
Wrestling with God,Genesis,Genesis,Event,32,32,1.00,Night struggle that transforms Jacob's identity.
Joseph Sold into Egypt,Genesis,Genesis,Event,37,37,0.99,Joseph is betrayed and sold by his brothers.
Sold for Silver,Genesis,Genesis,Event,37,37,0.98,Card-facing shorthand for Joseph's sale into the hands of traders.
Judah and Tamar,Genesis,Genesis,Event,38,38,0.97,"Pledge, disguise, and vindication in Judah's household crisis."
Pharaoh's Dreams,Genesis,Genesis,Event,41,41,0.98,The doubled dream sequence that launches Joseph's rise.
Joseph Reveals Himself,Genesis,Genesis,Event,45,45,0.99,Recognition scene where the hidden brother is unveiled.
Jacob Blesses Ephraim and Manasseh,Genesis,Genesis,Event,48,48,0.98,Crossed-hands blessing reshaping the next generation.
Blood Cries from the Ground,Genesis,Genesis,Judgment,4,4,0.98,Blood-guilt judgment pronounced after Abel's murder.
Fountains of the Great Deep,Genesis,Genesis,Judgment,7,7,0.99,Deep waters burst open as the deluge begins.
Windows of Heaven Opened,Genesis,Genesis,Judgment,7,7,0.99,Heavens pour out in the opening of the flood.
Confusion of Tongues,Genesis,Genesis,Judgment,11,11,0.99,Language judgment that fractures Babel's unity.
Scattering from the Tower,Genesis,Genesis,Judgment,11,11,0.98,Humanity is scattered after Babel is judged.
Destruction of Sodom and Gomorrah,Genesis,Genesis,Judgment,19,19,0.99,Fiery overthrow of the cities of the plain.
Seven Years of Famine,Genesis,Genesis,Judgment,41,41,0.98,Severe famine that follows the years of plenty.
Covenant of the Rainbow,Genesis,Genesis,Law/Rite,9,9,0.99,Covenant sign and promise after the flood.
Circumcision as Covenant Token,Genesis,Genesis,Law/Rite,17,17,0.99,Required sign of the covenant for Abraham's house.
Tithe to Melchizedek,Genesis,Genesis,Law/Rite,14,14,0.96,Abram gives a tenth to the priest-king of Salem.
Covenant of Mizpah,Genesis,Genesis,Law/Rite,31,31,0.95,Boundary pact between Jacob and Laban.
Image of God,Genesis,Genesis,Theme/Symbol,1,1,0.98,Humanity's defining identity and commission in creation.
Mark of Cain,Genesis,Genesis,Theme/Symbol,4,4,0.96,Protective sign set on the first murderer.
Walked with God,Genesis,Genesis,Theme/Symbol,5,6,0.96,Faithful intimacy motif attached to Enoch and Noah.
Noah Found Grace,Genesis,Genesis,Theme/Symbol,6,6,0.97,Favor that marks Noah before the flood.
Seven Days of Wonder,Genesis,Genesis,Theme/Symbol,1,2,0.95,Ordered creation pattern culminating in Sabbath rest.
Covenant of Promise,Genesis,Genesis,Theme/Symbol,12,22,0.99,"Promise of land, seed, blessing, and inheritance."
Stars Without Number,Genesis,Genesis,Theme/Symbol,15,15,0.98,Promise image for Abraham's innumerable descendants.
Promise of Isaac,Genesis,Genesis,Theme/Symbol,17,18,0.99,Announcement of the covenant son through Sarah.
Pillar of Salt,Genesis,Genesis,Theme/Symbol,19,19,0.96,Lasting warning image from Lot's wife.
Jacob Renamed Israel,Genesis,Genesis,Theme/Symbol,32,35,0.99,Identity transformation after the night struggle.
Dreams of Sun and Sheaves,Genesis,Genesis,Theme/Symbol,37,37,0.99,Joseph's dreams of rule that provoke envy.
What God Meant for Good,Genesis,Genesis,Theme/Symbol,50,50,0.99,Providence motif that resolves the Joseph story.
Lion of Judah,Genesis,Genesis,Theme/Symbol,49,49,0.99,Royal beast image from Jacob's blessing.
Scepter of Judah,Genesis,Genesis,Theme/Symbol,49,49,0.99,Kingship symbol attached to Judah's line.
